Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20,ED21,ED22,ED23,ED24,ED25,ED26,ED27,ED28,ED29,ED30,ED31,ED32,ED33,ED34,ED35,ED36,ED37,ED38,ED39,ED40
1/3/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/4/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/5/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/6/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/7/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/10/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/11/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/12/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/13/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
1/14/2000,3/15/2000,6/21/2000,9/20/2000,12/20/2000,3/21/2001,6/20/2001,9/19/2001,12/19/2001,3/20/2002,6/19/2002,9/18/2002,12/18/2002,3/19/2003,6/18/2003,9/17/2003,12/17/2003,3/17/2004,6/16/2004,9/15/2004,12/15/2004,3/16/2005,6/15/2005,9/21/2005,12/21/2005,3/15/2006,6/21/2006,9/20/2006,12/20/2006,3/21/2007,6/20/2007,9/19/2007,12/19/2007,3/19/2008,6/18/2008,9/17/2008,12/17/2008,3/18/2009,6/17/2009,9/16/2009,12/16/2009
